work_order_id,failure_mode,action
WO-00212,bearing_wear,Alignment Check
WO-00212,bearing_wear,Lubrication Service
WO-00213,rotor_imbalance,Vibration Analysis
WO-00213,rotor_imbalance,Bearing Inspection
WO-00214,impeller_erosion,Impeller Replacement Kit
WO-00214,impeller_erosion,Housing Inspection
WO-00215,cavitation,Pressure Test
WO-00215,cavitation,Impeller Inspection
WO-00215,cavitation,Suction Line Check
WO-00215,cavitation,Flow Rate Calibration
WO-00216,seal_leakage,Pressure Test
WO-00216,seal_leakage,Seal Replacement Kit
WO-00216,seal_leakage,Gasket Kit
WO-00216,seal_leakage,Housing Inspection
WO-00217,rotor_imbalance,Bearing Inspection
WO-00217,rotor_imbalance,Vibration Analysis
WO-00218,cavitation,Flow Rate Calibration
WO-00218,cavitation,Impeller Inspection
WO-00219,seal_leakage,Seal Replacement Kit
WO-00219,seal_leakage,Gasket Kit
WO-00219,seal_leakage,Pressure Test
WO-00219,seal_leakage,Housing Inspection
WO-00220,impeller_erosion,Impeller Replacement Kit
WO-00220,impeller_erosion,Housing Inspection
WO-00220,impeller_erosion,Flow Rate Calibration
WO-00221,bearing_wear,Oil Sample Test
WO-00221,bearing_wear,Lubrication Service
WO-00221,bearing_wear,Alignment Check
WO-00221,bearing_wear,Bearing Replacement Kit
WO-00222,motor_winding_failure,Motor Current Calibration
WO-00222,motor_winding_failure,Cooling System Check
WO-00222,motor_winding_failure,Insulation Test
WO-00222,motor_winding_failure,Motor Winding Repair Kit
WO-00223,rotor_imbalance,Rotor Balancing Kit
WO-00223,rotor_imbalance,Vibration Analysis
WO-00224,motor_winding_failure,Motor Winding Repair Kit
WO-00224,motor_winding_failure,Cooling System Check
WO-00225,rotor_imbalance,Vibration Analysis
WO-00225,rotor_imbalance,Bearing Inspection
WO-00225,rotor_imbalance,Rotor Balancing Kit
WO-00226,rotor_imbalance,Bearing Inspection
WO-00226,rotor_imbalance,Rotor Balancing Kit
WO-00226,rotor_imbalance,Vibration Analysis
WO-00227,impeller_erosion,Impeller Replacement Kit
WO-00227,impeller_erosion,Flow Rate Calibration
WO-00227,impeller_erosion,Housing Inspection
WO-00228,motor_winding_failure,Insulation Test
WO-00228,motor_winding_failure,Cooling System Check
WO-00228,motor_winding_failure,Motor Winding Repair Kit
WO-00229,cavitation,Pressure Test
WO-00229,cavitation,Impeller Inspection
WO-00229,cavitation,Suction Line Check
WO-00229,cavitation,Flow Rate Calibration
WO-00230,lubrication_failure,Seal Inspection
WO-00230,lubrication_failure,Lubrication Service
WO-00231,lubrication_failure,Lubrication Service
WO-00231,lubrication_failure,Seal Inspection
WO-00231,lubrication_failure,Oil Sample Test
WO-00231,lubrication_failure,Filter Replacement
WO-00232,rotor_imbalance,Rotor Balancing Kit
WO-00232,rotor_imbalance,Bearing Inspection
WO-00233,lubrication_failure,Filter Replacement
WO-00233,lubrication_failure,Lubrication Service
WO-00234,bearing_wear,Lubrication Service
WO-00234,bearing_wear,Oil Sample Test
WO-00234,bearing_wear,Alignment Check
WO-00234,bearing_wear,Vibration Analysis
WO-00235,rotor_imbalance,Bearing Inspection
WO-00235,rotor_imbalance,Rotor Balancing Kit
WO-00236,rotor_imbalance,Vibration Analysis
WO-00236,rotor_imbalance,Rotor Balancing Kit
WO-00237,cavitation,Suction Line Check
WO-00237,cavitation,Flow Rate Calibration
WO-00238,bearing_wear,Vibration Analysis
WO-00238,bearing_wear,Bearing Replacement Kit
WO-00238,bearing_wear,Alignment Check
WO-00239,shaft_misalignment,Shaft Repair Kit
WO-00239,shaft_misalignment,Coupling Inspection
WO-00239,shaft_misalignment,Alignment Check
WO-00240,motor_winding_failure,Insulation Test
WO-00240,motor_winding_failure,Motor Current Calibration
WO-00240,motor_winding_failure,Motor Winding Repair Kit
WO-00240,motor_winding_failure,Cooling System Check
WO-00241,motor_winding_failure,Motor Winding Repair Kit
WO-00241,motor_winding_failure,Cooling System Check
WO-00241,motor_winding_failure,Insulation Test
WO-00241,motor_winding_failure,Motor Current Calibration
WO-00242,impeller_erosion,Flow Rate Calibration
WO-00242,impeller_erosion,Housing Inspection
WO-00243,shaft_misalignment,Vibration Analysis
WO-00243,shaft_misalignment,Shaft Repair Kit
WO-00244,rotor_imbalance,Rotor Balancing Kit
WO-00244,rotor_imbalance,Vibration Analysis
WO-00245,cavitation,Pressure Test
WO-00245,cavitation,Suction Line Check
WO-00245,cavitation,Flow Rate Calibration
WO-00246,shaft_misalignment,Alignment Check
WO-00246,shaft_misalignment,Vibration Analysis
WO-00246,shaft_misalignment,Shaft Repair Kit
WO-00246,shaft_misalignment,Coupling Inspection
WO-00247,motor_winding_failure,Cooling System Check
WO-00247,motor_winding_failure,Insulation Test
WO-00248,motor_winding_failure,Cooling System Check
WO-00248,motor_winding_failure,Motor Current Calibration
WO-00248,motor_winding_failure,Motor Winding Repair Kit
WO-00249,cavitation,Pressure Test
WO-00249,cavitation,Flow Rate Calibration
WO-00249,cavitation,Suction Line Check
WO-00250,cavitation,Flow Rate Calibration
WO-00250,cavitation,Impeller Inspection
WO-00251,shaft_misalignment,Alignment Check
WO-00251,shaft_misalignment,Coupling Inspection
WO-00252,shaft_misalignment,Vibration Analysis
WO-00252,shaft_misalignment,Alignment Check
WO-00252,shaft_misalignment,Shaft Repair Kit
WO-00252,shaft_misalignment,Coupling Inspection
WO-00253,shaft_misalignment,Vibration Analysis
WO-00253,shaft_misalignment,Shaft Repair Kit
WO-00253,shaft_misalignment,Coupling Inspection
WO-00254,bearing_wear,Oil Sample Test
WO-00254,bearing_wear,Alignment Check
WO-00254,bearing_wear,Lubrication Service
WO-00254,bearing_wear,Bearing Replacement Kit
WO-00255,lubrication_failure,Seal Inspection
WO-00255,lubrication_failure,Lubrication Service
WO-00256,shaft_misalignment,Vibration Analysis
WO-00256,shaft_misalignment,Alignment Check
WO-00256,shaft_misalignment,Coupling Inspection
WO-00257,lubrication_failure,Lubrication Service
WO-00257,lubrication_failure,Filter Replacement
WO-00257,lubrication_failure,Oil Sample Test
WO-00258,bearing_wear,Alignment Check
WO-00258,bearing_wear,Oil Sample Test
WO-00258,bearing_wear,Lubrication Service
WO-00259,cavitation,Suction Line Check
WO-00259,cavitation,Impeller Inspection
WO-00260,impeller_erosion,Impeller Replacement Kit
WO-00260,impeller_erosion,Housing Inspection
WO-00261,shaft_misalignment,Coupling Inspection
WO-00261,shaft_misalignment,Shaft Repair Kit
WO-00261,shaft_misalignment,Vibration Analysis
WO-00261,shaft_misalignment,Alignment Check
WO-00262,cavitation,Pressure Test
WO-00262,cavitation,Suction Line Check
WO-00263,cavitation,Impeller Inspection
WO-00263,cavitation,Flow Rate Calibration
WO-00263,cavitation,Pressure Test
WO-00263,cavitation,Suction Line Check
WO-00264,bearing_wear,Alignment Check
WO-00264,bearing_wear,Vibration Analysis
WO-00265,impeller_erosion,Housing Inspection
WO-00265,impeller_erosion,Flow Rate Calibration
WO-00265,impeller_erosion,Impeller Replacement Kit
WO-00266,seal_leakage,Seal Replacement Kit
WO-00266,seal_leakage,Gasket Kit
WO-00267,impeller_erosion,Flow Rate Calibration
WO-00267,impeller_erosion,Housing Inspection
WO-00268,seal_leakage,Gasket Kit
WO-00268,seal_leakage,Housing Inspection
WO-00269,bearing_wear,Lubrication Service
WO-00269,bearing_wear,Alignment Check
WO-00270,lubrication_failure,Filter Replacement
WO-00270,lubrication_failure,Oil Sample Test
WO-00271,cavitation,Impeller Inspection
WO-00271,cavitation,Suction Line Check
WO-00272,impeller_erosion,Impeller Replacement Kit
WO-00272,impeller_erosion,Flow Rate Calibration
WO-00273,lubrication_failure,Filter Replacement
WO-00273,lubrication_failure,Lubrication Service
WO-00273,lubrication_failure,Oil Sample Test
WO-00273,lubrication_failure,Seal Inspection
WO-00274,impeller_erosion,Flow Rate Calibration
WO-00274,impeller_erosion,Impeller Replacement Kit
WO-00275,cavitation,Flow Rate Calibration
WO-00275,cavitation,Pressure Test
WO-00275,cavitation,Suction Line Check
WO-00275,cavitation,Impeller Inspection
WO-00276,seal_leakage,Housing Inspection
WO-00276,seal_leakage,Seal Replacement Kit
WO-00277,cavitation,Flow Rate Calibration
WO-00277,cavitation,Pressure Test
WO-00278,cavitation,Flow Rate Calibration
WO-00278,cavitation,Impeller Inspection
WO-00279,lubrication_failure,Seal Inspection
WO-00279,lubrication_failure,Filter Replacement
WO-00279,lubrication_failure,Lubrication Service
WO-00280,impeller_erosion,Housing Inspection
WO-00280,impeller_erosion,Flow Rate Calibration
WO-00280,impeller_erosion,Impeller Replacement Kit
WO-00281,cavitation,Impeller Inspection
WO-00281,cavitation,Pressure Test
WO-00282,shaft_misalignment,Coupling Inspection
WO-00282,shaft_misalignment,Shaft Repair Kit
WO-00282,shaft_misalignment,Vibration Analysis
WO-00282,shaft_misalignment,Alignment Check
WO-00283,lubrication_failure,Oil Sample Test
WO-00283,lubrication_failure,Seal Inspection
WO-00284,lubrication_failure,Oil Sample Test
WO-00284,lubrication_failure,Filter Replacement
WO-00285,shaft_misalignment,Shaft Repair Kit
WO-00285,shaft_misalignment,Coupling Inspection
WO-00286,motor_winding_failure,Motor Current Calibration
WO-00286,motor_winding_failure,Cooling System Check
WO-00286,motor_winding_failure,Insulation Test
WO-00286,motor_winding_failure,Motor Winding Repair Kit
WO-00287,motor_winding_failure,Cooling System Check
WO-00287,motor_winding_failure,Insulation Test
WO-00288,seal_leakage,Seal Replacement Kit
WO-00288,seal_leakage,Gasket Kit
WO-00288,seal_leakage,Housing Inspection
WO-00289,seal_leakage,Housing Inspection
WO-00289,seal_leakage,Seal Replacement Kit
WO-00289,seal_leakage,Pressure Test
WO-00290,cavitation,Impeller Inspection
WO-00290,cavitation,Pressure Test
WO-00290,cavitation,Flow Rate Calibration
WO-00291,impeller_erosion,Housing Inspection
WO-00291,impeller_erosion,Impeller Replacement Kit
WO-00291,impeller_erosion,Flow Rate Calibration
WO-00292,lubrication_failure,Seal Inspection
WO-00292,lubrication_failure,Filter Replacement
WO-00292,lubrication_failure,Lubrication Service
WO-00293,bearing_wear,Bearing Replacement Kit
WO-00293,bearing_wear,Alignment Check
WO-00293,bearing_wear,Vibration Analysis
WO-00293,bearing_wear,Oil Sample Test
WO-00293,bearing_wear,Lubrication Service
WO-00294,bearing_wear,Vibration Analysis
WO-00294,bearing_wear,Oil Sample Test
WO-00294,bearing_wear,Alignment Check
WO-00295,rotor_imbalance,Vibration Analysis
WO-00295,rotor_imbalance,Bearing Inspection
WO-00295,rotor_imbalance,Rotor Balancing Kit
WO-00296,impeller_erosion,Housing Inspection
WO-00296,impeller_erosion,Impeller Replacement Kit
WO-00296,impeller_erosion,Flow Rate Calibration
WO-00297,shaft_misalignment,Alignment Check
WO-00297,shaft_misalignment,Vibration Analysis
WO-00297,shaft_misalignment,Coupling Inspection
WO-00298,seal_leakage,Gasket Kit
WO-00298,seal_leakage,Housing Inspection
WO-00298,seal_leakage,Seal Replacement Kit
WO-00299,rotor_imbalance,Vibration Analysis
WO-00299,rotor_imbalance,Bearing Inspection
WO-00299,rotor_imbalance,Rotor Balancing Kit
WO-00300,shaft_misalignment,Shaft Repair Kit
WO-00300,shaft_misalignment,Vibration Analysis
WO-00300,shaft_misalignment,Coupling Inspection
WO-00301,rotor_imbalance,Bearing Inspection
WO-00301,rotor_imbalance,Vibration Analysis
WO-00302,cavitation,Pressure Test
WO-00302,cavitation,Suction Line Check
WO-00303,rotor_imbalance,Vibration Analysis
WO-00303,rotor_imbalance,Bearing Inspection
WO-00304,lubrication_failure,Oil Sample Test
WO-00304,lubrication_failure,Lubrication Service
WO-00305,shaft_misalignment,Alignment Check
WO-00305,shaft_misalignment,Vibration Analysis
WO-00305,shaft_misalignment,Shaft Repair Kit
WO-00306,cavitation,Suction Line Check
WO-00306,cavitation,Pressure Test
WO-00306,cavitation,Flow Rate Calibration
WO-00306,cavitation,Impeller Inspection
WO-00307,rotor_imbalance,Bearing Inspection
WO-00307,rotor_imbalance,Rotor Balancing Kit
WO-00308,motor_winding_failure,Cooling System Check
WO-00308,motor_winding_failure,Insulation Test
WO-00309,lubrication_failure,Filter Replacement
WO-00309,lubrication_failure,Seal Inspection
WO-00309,lubrication_failure,Oil Sample Test
WO-00310,lubrication_failure,Oil Sample Test
WO-00310,lubrication_failure,Seal Inspection
WO-00310,lubrication_failure,Filter Replacement
WO-00310,lubrication_failure,Lubrication Service
WO-00311,cavitation,Flow Rate Calibration
WO-00311,cavitation,Suction Line Check
WO-00311,cavitation,Pressure Test
WO-00311,cavitation,Impeller Inspection
WO-00312,impeller_erosion,Impeller Replacement Kit
WO-00312,impeller_erosion,Housing Inspection
WO-00313,seal_leakage,Housing Inspection
WO-00313,seal_leakage,Gasket Kit
WO-00314,shaft_misalignment,Alignment Check
WO-00314,shaft_misalignment,Coupling Inspection
WO-00314,shaft_misalignment,Shaft Repair Kit
WO-00314,shaft_misalignment,Vibration Analysis
WO-00315,seal_leakage,Gasket Kit
WO-00315,seal_leakage,Housing Inspection
WO-00315,seal_leakage,Seal Replacement Kit
WO-00316,lubrication_failure,Filter Replacement
WO-00316,lubrication_failure,Lubrication Service
WO-00316,lubrication_failure,Oil Sample Test
WO-00317,bearing_wear,Oil Sample Test
WO-00317,bearing_wear,Alignment Check
WO-00317,bearing_wear,Bearing Replacement Kit
WO-00317,bearing_wear,Lubrication Service
WO-00317,bearing_wear,Vibration Analysis
WO-00318,cavitation,Impeller Inspection
WO-00318,cavitation,Suction Line Check
WO-00319,shaft_misalignment,Vibration Analysis
WO-00319,shaft_misalignment,Alignment Check
WO-00319,shaft_misalignment,Shaft Repair Kit
WO-00319,shaft_misalignment,Coupling Inspection
WO-00320,seal_leakage,Gasket Kit
WO-00320,seal_leakage,Pressure Test
WO-00320,seal_leakage,Housing Inspection
WO-00321,motor_winding_failure,Motor Winding Repair Kit
WO-00321,motor_winding_failure,Cooling System Check
WO-00321,motor_winding_failure,Motor Current Calibration
WO-00321,motor_winding_failure,Insulation Test
WO-00322,lubrication_failure,Seal Inspection
WO-00322,lubrication_failure,Lubrication Service
WO-00323,seal_leakage,Pressure Test
WO-00323,seal_leakage,Seal Replacement Kit
WO-00324,bearing_wear,Vibration Analysis
WO-00324,bearing_wear,Oil Sample Test
WO-00324,bearing_wear,Bearing Replacement Kit
WO-00325,shaft_misalignment,Alignment Check
WO-00325,shaft_misalignment,Vibration Analysis
WO-00325,shaft_misalignment,Shaft Repair Kit
WO-00326,rotor_imbalance,Vibration Analysis
WO-00326,rotor_imbalance,Rotor Balancing Kit
WO-00326,rotor_imbalance,Bearing Inspection
WO-00327,lubrication_failure,Seal Inspection
WO-00327,lubrication_failure,Lubrication Service
WO-00327,lubrication_failure,Filter Replacement
WO-00327,lubrication_failure,Oil Sample Test
WO-00328,shaft_misalignment,Alignment Check
WO-00328,shaft_misalignment,Coupling Inspection
WO-00328,shaft_misalignment,Vibration Analysis
WO-00328,shaft_misalignment,Shaft Repair Kit
WO-00329,impeller_erosion,Flow Rate Calibration
WO-00329,impeller_erosion,Impeller Replacement Kit
WO-00329,impeller_erosion,Housing Inspection
WO-00330,shaft_misalignment,Coupling Inspection
WO-00330,shaft_misalignment,Vibration Analysis
WO-00330,shaft_misalignment,Alignment Check
WO-00331,cavitation,Impeller Inspection
WO-00331,cavitation,Suction Line Check
WO-00332,cavitation,Suction Line Check
WO-00332,cavitation,Pressure Test
WO-00332,cavitation,Flow Rate Calibration
WO-00332,cavitation,Impeller Inspection
WO-00333,rotor_imbalance,Rotor Balancing Kit
WO-00333,rotor_imbalance,Vibration Analysis
WO-00334,bearing_wear,Lubrication Service
WO-00334,bearing_wear,Bearing Replacement Kit
WO-00334,bearing_wear,Vibration Analysis
WO-00334,bearing_wear,Alignment Check
WO-00335,cavitation,Flow Rate Calibration
WO-00335,cavitation,Pressure Test
WO-00335,cavitation,Suction Line Check
WO-00336,seal_leakage,Gasket Kit
WO-00336,seal_leakage,Housing Inspection
WO-00337,cavitation,Pressure Test
WO-00337,cavitation,Suction Line Check
WO-00338,shaft_misalignment,Shaft Repair Kit
WO-00338,shaft_misalignment,Coupling Inspection
WO-00338,shaft_misalignment,Vibration Analysis
WO-00339,impeller_erosion,Impeller Replacement Kit
WO-00339,impeller_erosion,Flow Rate Calibration
WO-00339,impeller_erosion,Housing Inspection
WO-00340,cavitation,Pressure Test
WO-00340,cavitation,Impeller Inspection
WO-00340,cavitation,Suction Line Check
WO-00340,cavitation,Flow Rate Calibration
WO-00341,impeller_erosion,Housing Inspection
WO-00341,impeller_erosion,Flow Rate Calibration
WO-00342,cavitation,Impeller Inspection
WO-00342,cavitation,Suction Line Check
WO-00343,seal_leakage,Housing Inspection
WO-00343,seal_leakage,Pressure Test
WO-00343,seal_leakage,Gasket Kit
WO-00344,rotor_imbalance,Vibration Analysis
WO-00344,rotor_imbalance,Bearing Inspection
WO-00344,rotor_imbalance,Rotor Balancing Kit
WO-00345,cavitation,Flow Rate Calibration
WO-00345,cavitation,Suction Line Check
WO-00345,cavitation,Impeller Inspection
WO-00345,cavitation,Pressure Test
WO-00346,impeller_erosion,Housing Inspection
WO-00346,impeller_erosion,Impeller Replacement Kit
WO-00346,impeller_erosion,Flow Rate Calibration
WO-00347,rotor_imbalance,Rotor Balancing Kit
WO-00347,rotor_imbalance,Bearing Inspection
WO-00347,rotor_imbalance,Vibration Analysis
WO-00348,lubrication_failure,Filter Replacement
WO-00348,lubrication_failure,Oil Sample Test
WO-00348,lubrication_failure,Seal Inspection
WO-00348,lubrication_failure,Lubrication Service
WO-00349,rotor_imbalance,Vibration Analysis
WO-00349,rotor_imbalance,Bearing Inspection
WO-00349,rotor_imbalance,Rotor Balancing Kit
WO-00350,shaft_misalignment,Coupling Inspection
WO-00350,shaft_misalignment,Vibration Analysis
WO-00350,shaft_misalignment,Shaft Repair Kit
WO-00350,shaft_misalignment,Alignment Check
WO-00351,cavitation,Pressure Test
WO-00351,cavitation,Impeller Inspection
WO-00351,cavitation,Flow Rate Calibration
WO-00351,cavitation,Suction Line Check
WO-00352,rotor_imbalance,Bearing Inspection
WO-00352,rotor_imbalance,Vibration Analysis
WO-00352,rotor_imbalance,Rotor Balancing Kit
WO-00353,seal_leakage,Housing Inspection
WO-00353,seal_leakage,Seal Replacement Kit
WO-00353,seal_leakage,Gasket Kit
WO-00354,motor_winding_failure,Motor Winding Repair Kit
WO-00354,motor_winding_failure,Cooling System Check
WO-00355,shaft_misalignment,Coupling Inspection
WO-00355,shaft_misalignment,Vibration Analysis
WO-00355,shaft_misalignment,Shaft Repair Kit
WO-00356,shaft_misalignment,Vibration Analysis
WO-00356,shaft_misalignment,Shaft Repair Kit
WO-00356,shaft_misalignment,Coupling Inspection
WO-00356,shaft_misalignment,Alignment Check
WO-00357,seal_leakage,Gasket Kit
WO-00357,seal_leakage,Pressure Test
WO-00357,seal_leakage,Seal Replacement Kit
WO-00358,cavitation,Suction Line Check
WO-00358,cavitation,Impeller Inspection
WO-00358,cavitation,Pressure Test
WO-00358,cavitation,Flow Rate Calibration
WO-00359,lubrication_failure,Lubrication Service
WO-00359,lubrication_failure,Oil Sample Test
WO-00359,lubrication_failure,Filter Replacement
WO-00360,motor_winding_failure,Insulation Test
WO-00360,motor_winding_failure,Motor Current Calibration
WO-00360,motor_winding_failure,Motor Winding Repair Kit
WO-00360,motor_winding_failure,Cooling System Check
WO-00361,seal_leakage,Housing Inspection
WO-00361,seal_leakage,Pressure Test
WO-00361,seal_leakage,Gasket Kit
WO-00362,impeller_erosion,Impeller Replacement Kit
WO-00362,impeller_erosion,Flow Rate Calibration
WO-00363,shaft_misalignment,Shaft Repair Kit
WO-00363,shaft_misalignment,Vibration Analysis
WO-00363,shaft_misalignment,Coupling Inspection
WO-00364,rotor_imbalance,Rotor Balancing Kit
WO-00364,rotor_imbalance,Vibration Analysis
WO-00365,bearing_wear,Oil Sample Test
WO-00365,bearing_wear,Lubrication Service
WO-00366,seal_leakage,Gasket Kit
WO-00366,seal_leakage,Housing Inspection
WO-00367,lubrication_failure,Filter Replacement
WO-00367,lubrication_failure,Lubrication Service
WO-00367,lubrication_failure,Oil Sample Test
WO-00368,lubrication_failure,Filter Replacement
WO-00368,lubrication_failure,Lubrication Service
WO-00368,lubrication_failure,Oil Sample Test
WO-00368,lubrication_failure,Seal Inspection
WO-00369,rotor_imbalance,Rotor Balancing Kit
WO-00369,rotor_imbalance,Vibration Analysis
WO-00370,bearing_wear,Bearing Replacement Kit
WO-00370,bearing_wear,Oil Sample Test
WO-00371,seal_leakage,Gasket Kit
WO-00371,seal_leakage,Pressure Test
WO-00371,seal_leakage,Housing Inspection
WO-00371,seal_leakage,Seal Replacement Kit
WO-00372,motor_winding_failure,Motor Current Calibration
WO-00372,motor_winding_failure,Cooling System Check
WO-00372,motor_winding_failure,Insulation Test
WO-00372,motor_winding_failure,Motor Winding Repair Kit
WO-00373,lubrication_failure,Seal Inspection
WO-00373,lubrication_failure,Oil Sample Test
WO-00373,lubrication_failure,Filter Replacement
WO-00373,lubrication_failure,Lubrication Service
WO-00374,bearing_wear,Vibration Analysis
WO-00374,bearing_wear,Oil Sample Test
WO-00374,bearing_wear,Lubrication Service
WO-00375,motor_winding_failure,Motor Current Calibration
WO-00375,motor_winding_failure,Cooling System Check
WO-00376,rotor_imbalance,Bearing Inspection
WO-00376,rotor_imbalance,Vibration Analysis
WO-00376,rotor_imbalance,Rotor Balancing Kit
WO-00377,impeller_erosion,Flow Rate Calibration
WO-00377,impeller_erosion,Impeller Replacement Kit
WO-00378,cavitation,Flow Rate Calibration
WO-00378,cavitation,Impeller Inspection
WO-00379,seal_leakage,Gasket Kit
WO-00379,seal_leakage,Seal Replacement Kit
WO-00379,seal_leakage,Pressure Test
WO-00380,bearing_wear,Vibration Analysis
WO-00380,bearing_wear,Oil Sample Test
WO-00380,bearing_wear,Bearing Replacement Kit
WO-00380,bearing_wear,Alignment Check
WO-00381,cavitation,Pressure Test
WO-00381,cavitation,Impeller Inspection
WO-00381,cavitation,Flow Rate Calibration
WO-00381,cavitation,Suction Line Check
WO-00382,motor_winding_failure,Motor Current Calibration
WO-00382,motor_winding_failure,Insulation Test
WO-00382,motor_winding_failure,Motor Winding Repair Kit
WO-00383,shaft_misalignment,Shaft Repair Kit
WO-00383,shaft_misalignment,Alignment Check
WO-00383,shaft_misalignment,Vibration Analysis
WO-00384,cavitation,Impeller Inspection
WO-00384,cavitation,Suction Line Check
WO-00385,motor_winding_failure,Cooling System Check
WO-00385,motor_winding_failure,Insulation Test
WO-00385,motor_winding_failure,Motor Winding Repair Kit
WO-00385,motor_winding_failure,Motor Current Calibration
WO-00386,impeller_erosion,Flow Rate Calibration
WO-00386,impeller_erosion,Housing Inspection
WO-00387,impeller_erosion,Impeller Replacement Kit
WO-00387,impeller_erosion,Flow Rate Calibration
WO-00387,impeller_erosion,Housing Inspection
WO-00388,lubrication_failure,Filter Replacement
WO-00388,lubrication_failure,Lubrication Service
WO-00388,lubrication_failure,Oil Sample Test
WO-00389,motor_winding_failure,Motor Current Calibration
WO-00389,motor_winding_failure,Cooling System Check
WO-00389,motor_winding_failure,Motor Winding Repair Kit
WO-00389,motor_winding_failure,Insulation Test
WO-00390,shaft_misalignment,Vibration Analysis
WO-00390,shaft_misalignment,Coupling Inspection
WO-00390,shaft_misalignment,Shaft Repair Kit
WO-00391,rotor_imbalance,Bearing Inspection
WO-00391,rotor_imbalance,Vibration Analysis
WO-00392,bearing_wear,Bearing Replacement Kit
WO-00392,bearing_wear,Lubrication Service
WO-00393,cavitation,Flow Rate Calibration
WO-00393,cavitation,Impeller Inspection
WO-00393,cavitation,Pressure Test
WO-00394,cavitation,Pressure Test
WO-00394,cavitation,Impeller Inspection
WO-00394,cavitation,Suction Line Check
WO-00394,cavitation,Flow Rate Calibration
WO-00395,cavitation,Flow Rate Calibration
WO-00395,cavitation,Pressure Test
WO-00395,cavitation,Suction Line Check
WO-00395,cavitation,Impeller Inspection
WO-00396,bearing_wear,Alignment Check
WO-00396,bearing_wear,Bearing Replacement Kit
WO-00396,bearing_wear,Lubrication Service
WO-00396,bearing_wear,Oil Sample Test
WO-00397,bearing_wear,Alignment Check
WO-00397,bearing_wear,Lubrication Service
WO-00397,bearing_wear,Oil Sample Test
WO-00397,bearing_wear,Bearing Replacement Kit
WO-00397,bearing_wear,Vibration Analysis
WO-00398,rotor_imbalance,Rotor Balancing Kit
WO-00398,rotor_imbalance,Bearing Inspection
WO-00398,rotor_imbalance,Vibration Analysis
WO-00399,shaft_misalignment,Alignment Check
WO-00399,shaft_misalignment,Coupling Inspection
WO-00400,cavitation,Suction Line Check
WO-00400,cavitation,Flow Rate Calibration
WO-00400,cavitation,Impeller Inspection
WO-00401,impeller_erosion,Housing Inspection
WO-00401,impeller_erosion,Impeller Replacement Kit
WO-00401,impeller_erosion,Flow Rate Calibration
WO-00402,lubrication_failure,Filter Replacement
WO-00402,lubrication_failure,Seal Inspection
WO-00402,lubrication_failure,Oil Sample Test
WO-00402,lubrication_failure,Lubrication Service
WO-00403,cavitation,Flow Rate Calibration
WO-00403,cavitation,Pressure Test
WO-00404,cavitation,Pressure Test
WO-00404,cavitation,Flow Rate Calibration
WO-00404,cavitation,Suction Line Check
WO-00404,cavitation,Impeller Inspection
WO-00405,lubrication_failure,Filter Replacement
WO-00405,lubrication_failure,Seal Inspection
WO-00406,seal_leakage,Pressure Test
WO-00406,seal_leakage,Gasket Kit
WO-00407,lubrication_failure,Seal Inspection
WO-00407,lubrication_failure,Oil Sample Test
WO-00407,lubrication_failure,Filter Replacement
WO-00407,lubrication_failure,Lubrication Service
WO-00408,seal_leakage,Seal Replacement Kit
WO-00408,seal_leakage,Pressure Test
WO-00408,seal_leakage,Gasket Kit
WO-00409,impeller_erosion,Impeller Replacement Kit
WO-00409,impeller_erosion,Flow Rate Calibration
WO-00409,impeller_erosion,Housing Inspection
WO-00410,seal_leakage,Seal Replacement Kit
WO-00410,seal_leakage,Gasket Kit
WO-00410,seal_leakage,Pressure Test
WO-00410,seal_leakage,Housing Inspection
WO-00411,motor_winding_failure,Insulation Test
WO-00411,motor_winding_failure,Motor Current Calibration
WO-00412,seal_leakage,Pressure Test
WO-00412,seal_leakage,Seal Replacement Kit
WO-00412,seal_leakage,Housing Inspection
WO-00412,seal_leakage,Gasket Kit
WO-00413,lubrication_failure,Oil Sample Test
WO-00413,lubrication_failure,Filter Replacement
WO-00414,lubrication_failure,Lubrication Service
WO-00414,lubrication_failure,Oil Sample Test
WO-00415,cavitation,Flow Rate Calibration
WO-00415,cavitation,Impeller Inspection
WO-00415,cavitation,Pressure Test
WO-00415,cavitation,Suction Line Check
WO-00416,rotor_imbalance,Bearing Inspection
WO-00416,rotor_imbalance,Vibration Analysis
WO-00416,rotor_imbalance,Rotor Balancing Kit
WO-00417,lubrication_failure,Filter Replacement
WO-00417,lubrication_failure,Oil Sample Test
WO-00417,lubrication_failure,Lubrication Service
WO-00418,shaft_misalignment,Coupling Inspection
WO-00418,shaft_misalignment,Vibration Analysis
WO-00418,shaft_misalignment,Alignment Check
WO-00418,shaft_misalignment,Shaft Repair Kit
WO-00419,impeller_erosion,Impeller Replacement Kit
WO-00419,impeller_erosion,Flow Rate Calibration
WO-00420,motor_winding_failure,Motor Current Calibration
WO-00420,motor_winding_failure,Motor Winding Repair Kit
WO-00421,bearing_wear,Oil Sample Test
WO-00421,bearing_wear,Bearing Replacement Kit
WO-00421,bearing_wear,Lubrication Service
WO-00421,bearing_wear,Alignment Check
WO-00422,motor_winding_failure,Cooling System Check
WO-00422,motor_winding_failure,Motor Winding Repair Kit
WO-00422,motor_winding_failure,Insulation Test
WO-00422,motor_winding_failure,Motor Current Calibration
WO-00423,lubrication_failure,Filter Replacement
